Year	GMSL (mm)	GIA Correction	Adjusted GMSL (mm)	Sea Level Rise (mm)	Manual Adjusted GMSL
1993.011526	-37.65	0.0034578000000010435	-76.18654219999999	0.0	-76.18654219999999
1993.038692	-38.54	0.011607600000024832	-77.06839239999996	-0.8818501999999739	-77.06839239999996
1993.065858	-38.18	0.019757399999980406	-76.70024260000002	-0.5137004000000331	-76.70024260000002
1993.093025	-38.14	0.027907499999969332	-76.65209250000004	-0.4655503000000465	-76.65209250000004
1993.120191	-36.99	0.03605729999999312	-75.4939427	0.6925994999999858	-75.4939427
1993.147357	-35.61	0.04420710000001691	-74.10579289999998	2.080749300000008	-74.10579289999998
1993.174523	-34.4	0.052356899999972485	-72.88764310000002	3.2988990999999714	-72.88764310000002
1993.201689	-33.59	0.06050669999999627	-72.0694933	4.117048899999986	-72.0694933
1993.228855	-33.16	0.06865650000002006	-71.63134349999999	4.555198700000005	-71.63134349999999
1993.256021	-32.91	0.07680629999997564	-71.37319370000003	4.813348499999961	-71.37319370000003
1993.283188	-32.7	0.08495640000003277	-71.15504359999997	5.03149860000002	-71.15504359999997
1993.310354	-32.53	0.09310619999998834	-70.97689380000001	5.209648399999978	-70.97689380000001
1993.33752	-32.49	0.10125600000001213	-70.928744	5.257798199999996	-70.928744
1993.364686	-32.34	0.1094057999999677	-70.77059420000003	5.415947999999958	-70.77059420000003
1993.391852	-32.41	0.11755559999999149	-70.83244440000001	5.354097799999977	-70.83244440000001
1993.419018	-31.8	0.1257054000000153	-70.21429459999999	5.972247600000003	-70.21429459999999
1993.446185	-31.47	0.1338555000000042	-69.8761445	6.310397699999996	-69.8761445
1993.473351	-31.0	0.142005300000028	-69.39799469999997	6.788547500000021	-69.39799469999997
1993.500517	-30.86	0.15015509999998358	-69.24984490000001	6.936697299999977	-69.24984490000001
1993.527683	-31.13	0.15830490000000735	-69.5116951	6.674847099999994	-69.5116951
1993.554849	-31.59	0.16645470000003115	-69.96354529999996	6.222996900000027	-69.96354529999996
1993.582015	-31.94	0.17460449999998673	-70.30539550000002	5.881146699999974	-70.30539550000002
1993.609181	-32.1	0.1827543000000105	-70.45724569999999	5.729296500000004	-70.45724569999999
1993.636348	-32.18	0.19090439999999945	-70.5290956	5.657446599999986	-70.5290956
1993.663514	-32.28	0.19905420000002322	-70.62094579999999	5.565596400000004	-70.62094579999999
1993.69068	-32.44	0.2072039999999788	-70.77279600000003	5.413746199999963	-70.77279600000003
1993.717846	-32.68	0.2153538000000026	-71.0046462	5.181895999999995	-71.0046462
1993.745012	-32.56	0.22350360000002636	-70.87649639999998	5.310045800000012	-70.87649639999998
1993.772178	-32.42	0.23165339999998194	-70.72834660000001	5.458195599999982	-70.72834660000001
1993.799345	-32.34	0.23980349999997086	-70.64019650000003	5.546345699999961	-70.64019650000003
1993.826511	-32.41	0.24795329999999466	-70.70204670000001	5.48449549999998	-70.70204670000001
1993.853677	-32.44	0.25610310000001846	-70.72389689999997	5.46264530000002	-70.72389689999997
1993.880843	-32.12	0.26425289999997403	-70.39574710000002	5.790795099999968	-70.39574710000002
1993.908009	-31.41	0.27240269999999783	-69.6775973	6.508944899999989	-69.6775973
1993.935175	-30.59	0.2805525000000216	-68.84944749999998	7.337094700000009	-68.84944749999998
1993.962341	-30.03	0.28870229999997715	-68.28129770000002	7.9052444999999665	-68.28129770000002
1993.989508	-30.28	0.2968523999999661	-68.52314760000003	7.663394599999961	-68.52314760000003
1994.016674	-30.25	0.3050021999999899	-68.4849978	7.701544399999989	-68.4849978
1994.04384	-30.65	0.3131520000000137	-68.87684799999998	7.30969420000001	-68.87684799999998
1994.071006	-31.02	0.3213017999999693	-69.23869820000003	6.947843999999961	-69.23869820000003
1994.098172	-31.24	0.329451599999993	-69.4505484	6.735993799999989	-69.4505484
1994.125338	-31.19	0.3376014000000168	-69.39239859999998	6.794143600000012	-69.39239859999998
1994.152505	-30.76	0.34575150000000576	-68.95424849999999	7.2322937	-68.95424849999999
1994.179671	-29.97	0.35390130000002956	-68.15609869999997	8.030443500000018	-68.15609869999997
1994.206837	-29.04	0.36205109999998514	-67.21794890000001	8.96859329999998	-67.21794890000001
1994.234003	-28.34	0.3702009000000089	-66.5097991	9.676743099999996	-66.5097991
1994.261169	-28.06	0.3783507000000327	-66.22164929999997	9.964892900000024	-66.22164929999997
1994.288335	-28.37	0.38650049999998826	-66.52349950000001	9.663042699999977	-66.52349950000001
1994.315501	-28.56	0.39465030000001206	-66.70534969999999	9.481192500000006	-66.70534969999999
1994.342668	-29.1	0.402800400000001	-67.2371996	8.949342599999994	-67.2371996
1994.369834	-29.3	0.41095020000002475	-67.42904979999997	8.757492400000018	-67.42904979999997
1994.397	-29.73	0.4190999999999803	-67.85090000000002	8.335642199999967	-67.85090000000002
1994.424166	-29.73	0.4272498000000041	-67.8427502	8.343791999999993	-67.8427502
1994.451332	-29.7	0.4353996000000279	-67.80460039999997	8.381941800000021	-67.80460039999997
1994.478498	-29.73	0.4435493999999835	-67.82645060000002	8.360091599999976	-67.82645060000002
1994.505664	-29.7	0.4516992000000073	-67.78830079999999	8.398241400000003	-67.78830079999999
1994.532831	-29.51	0.4598492999999962	-67.59015070000001	8.596391499999982	-67.59015070000001
1994.559997	-29.14	0.46799910000002	-67.21200089999998	8.974541300000013	-67.21200089999998
1994.587163	-28.69	0.47614889999997556	-66.75385110000002	9.432691099999971	-66.75385110000002
1994.614329	-28.31	0.48429869999999936	-66.3657013	9.820840899999993	-66.3657013
1994.641495	-28.39	0.49244850000002316	-66.43755149999998	9.748990700000007	-66.43755149999998
1994.668661	-28.23	0.5005982999999787	-66.26940170000002	9.917140499999974	-66.26940170000002
1994.695828	-28.1	0.5087483999999677	-66.13125160000004	10.05529059999995	-66.13125160000004
1994.722994	-28.18	0.5168981999999914	-66.20310180000001	9.983440399999978	-66.20310180000001
1994.75016	-28.14	0.5250480000000152	-66.15495199999998	10.03159020000001	-66.15495199999998
1994.777326	-27.96	0.5331977999999707	-65.96680220000003	10.219739999999959	-65.96680220000003
1994.804492	-27.77	0.5413475999999946	-65.76865240000001	10.417889799999983	-65.76865240000001
1994.831658	-27.78	0.5494974000000183	-65.77050259999999	10.416039600000005	-65.77050259999999
1994.858824	-27.95	0.5576471999999739	-65.93235280000002	10.254189399999973	-65.93235280000002
1994.885991	-27.91	0.565797300000031	-65.88420269999997	10.302339500000016	-65.88420269999997
1994.913157	-27.34	0.5739470999999866	-65.30605290000001	10.88048929999998	-65.30605290000001
